,overallScore,confidence,dx_codeReviewDuration,dx_debuggingTime,dx_successfulDeploymentsRatio,dx_timeToFirstCommit,dx_linesChangedPerHour,dx_averageCommentsPerPR,dx_prIterationRate,tp_buildTime,tp_bundleSize,tp_bundleLoadTime,tp_performanceScore,tp_typeScriptErrorRate,tp_testCoverage,bi_timeToMarket,bi_featureSuccessRate,bi_activeContributors,bi_issueResolutionRate,bi_communityGrowth
overallScore,1.0,,-0.43393362398529106,-0.23699800539110824,,,0.05617970558640704,-0.20343363514997465,-0.20640677427703805,-0.06942641114222518,-0.32187758290975316,-0.32187758290975327,0.302939318747466,-0.09479647880648334,0.1701507015457422,-0.4563537949398184,0.2752627695789902,-0.03247391573955259,0.3221115561185735,0.09446416274653807
confidence,,,,,,,,,,,,,,,,,,,,
dx_codeReviewDuration,-0.43393362398529106,,1.0,0.4922864517868645,,,-0.17906306102029396,0.2528930998099436,0.29802480333754117,-0.03950259758218627,0.013851884668851854,0.013851884668851894,0.2660060946359031,-0.03957023225666373,-0.11648342595346402,0.8812864389231833,-0.19373290371037305,0.0574579784781007,-0.33933223968159454,-0.16558513746614784
dx_debuggingTime,-0.23699800539110824,,0.4922864517868645,1.0,,,0.054727122863421726,0.08753183617909407,0.16239726828032433,0.01789592149569354,-0.016208103384822682,-0.016208103384822654,-0.0646453382013272,0.031228481087234077,-0.031072044668161925,0.4643947100857629,-0.09398592596572745,-0.017006567206037847,-0.2576787741028805,-0.09803262300997706
dx_successfulDeploymentsRatio,,,,,,,,,,,,,,,,,,,,
dx_timeToFirstCommit,,,,,,,,,,,,,,,,,,,,
dx_linesChangedPerHour,0.05617970558640704,,-0.17906306102029396,0.054727122863421726,,,1.0,-0.18874963483286938,-0.13759545376596058,0.03708440652832099,0.05611245894578431,0.05611245894578432,-0.1243067651655863,-0.13116761333000537,0.09781215925630958,-0.15993727538354593,-0.12293268424169118,-0.11906522247682655,0.001481713300726557,0.05571848002442358
dx_averageCommentsPerPR,-0.20343363514997465,,0.2528930998099436,0.08753183617909407,,,-0.18874963483286938,1.0,0.44110296990742787,-0.05325739872413195,0.4569772723860694,0.45697727238606944,0.06270092906799977,0.24144286738459556,0.05132288016640172,0.2736810749431591,0.22662960624603834,0.1533713166137929,-0.25984305133629876,0.1321522075084603
dx_prIterationRate,-0.20640677427703805,,0.29802480333754117,0.16239726828032433,,,-0.13759545376596058,0.44110296990742787,1.0,-0.07677436055727725,-0.022058810072152567,-0.022058810072152553,0.19436425850704703,0.1857951736435021,-0.20471678201623447,0.23422566123109925,0.2944024368973128,-0.050512764017304874,-0.15568950792062577,-0.17315607815936493
tp_buildTime,-0.06942641114222518,,-0.03950259758218627,0.01789592149569354,,,0.03708440652832099,-0.05325739872413195,-0.07677436055727725,1.0,0.08199879176880752,0.08199879176880756,-0.42881344906288826,-0.18085421073749122,0.26827904502084354,0.015575894727640458,-0.028627763451258684,0.08368576999015621,-0.11132237617073235,0.1290780086834662
tp_bundleSize,-0.32187758290975316,,0.013851884668851854,-0.016208103384822682,,,0.05611245894578431,0.4569772723860694,-0.022058810072152567,0.08199879176880752,1.0,0.9999999999999997,-0.294638461621886,0.34802351716026997,0.25984066110489606,0.014076373100861695,-0.128860884909404,-0.024966858929092374,-0.22530115334730333,0.4909050713974791
tp_bundleLoadTime,-0.32187758290975327,,0.013851884668851894,-0.016208103384822654,,,0.05611245894578432,0.45697727238606944,-0.022058810072152553,0.08199879176880756,0.9999999999999997,1.0,-0.294638461621886,0.34802351716027013,0.25984066110489606,0.01407637310086177,-0.12886088490940403,-0.024966858929092377,-0.22530115334730336,0.490905071397479
tp_performanceScore,0.302939318747466,,0.2660060946359031,-0.0646453382013272,,,-0.1243067651655863,0.06270092906799977,0.19436425850704703,-0.42881344906288826,-0.294638461621886,-0.294638461621886,1.0,-0.12210400210851838,-0.25070818504882086,0.23106578268884426,-0.06743016026409798,-0.0022124693186126366,0.12544750096747057,-0.27835112432761466
tp_typeScriptErrorRate,-0.09479647880648334,,-0.03957023225666373,0.031228481087234077,,,-0.13116761333000537,0.24144286738459556,0.1857951736435021,-0.18085421073749122,0.34802351716026997,0.34802351716027013,-0.12210400210851838,1.0,-0.40507376852575666,-0.14003959662379178,0.12143261613208799,0.0921380513882685,-0.04424058484655503,-0.011501668181801221
tp_testCoverage,0.1701507015457422,,-0.11648342595346402,-0.031072044668161925,,,0.09781215925630958,0.05132288016640172,-0.20471678201623447,0.26827904502084354,0.25984066110489606,0.25984066110489606,-0.25070818504882086,-0.40507376852575666,1.0,-0.08793052677474825,-0.08860809523846677,0.08172014412401425,-0.09710723877334242,0.771604682382527
bi_timeToMarket,-0.4563537949398184,,0.8812864389231833,0.4643947100857629,,,-0.15993727538354593,0.2736810749431591,0.23422566123109925,0.015575894727640458,0.014076373100861695,0.01407637310086177,0.23106578268884426,-0.14003959662379178,-0.08793052677474825,1.0,-0.10745867840835119,0.18351250492911525,-0.3632692127642448,-0.23018360143918076
bi_featureSuccessRate,0.2752627695789902,,-0.19373290371037305,-0.09398592596572745,,,-0.12293268424169118,0.22662960624603834,0.2944024368973128,-0.028627763451258684,-0.128860884909404,-0.12886088490940403,-0.06743016026409798,0.12143261613208799,-0.08860809523846677,-0.10745867840835119,1.0,0.2561377143152437,0.09689819553656406,-0.26946813734751984
bi_activeContributors,-0.03247391573955259,,0.0574579784781007,-0.017006567206037847,,,-0.11906522247682655,0.1533713166137929,-0.050512764017304874,0.08368576999015621,-0.024966858929092374,-0.024966858929092377,-0.0022124693186126366,0.0921380513882685,0.08172014412401425,0.18351250492911525,0.2561377143152437,1.0,-0.005284414710105099,0.10416771312388906
bi_issueResolutionRate,0.3221115561185735,,-0.33933223968159454,-0.2576787741028805,,,0.001481713300726557,-0.25984305133629876,-0.15568950792062577,-0.11132237617073235,-0.22530115334730333,-0.22530115334730336,0.12544750096747057,-0.04424058484655503,-0.09710723877334242,-0.3632692127642448,0.09689819553656406,-0.005284414710105099,1.0,-0.15425136901386047
bi_communityGrowth,0.09446416274653807,,-0.16558513746614784,-0.09803262300997706,,,0.05571848002442358,0.1321522075084603,-0.17315607815936493,0.1290780086834662,0.4909050713974791,0.490905071397479,-0.27835112432761466,-0.011501668181801221,0.771604682382527,-0.23018360143918076,-0.26946813734751984,0.10416771312388906,-0.15425136901386047,1.0
